id,username,created_at,lng,lat,text
1517367172288462850,AbbieBostic_,Fri Apr 22 04:58:19 +0000 2022,-82.4009905,33.007085000000004,I got off at 10 and done stayed up talking with dajah . I pose to been sleep .
1517367171478921216,WETHEKINGDOM888,Fri Apr 22 04:58:19 +0000 2022,-81.46323,36.355364,TRUTH 😎♠️🇺🇸THE LARGEST UNDERCOVER MILITARY STING OPERATION IN HUMAN HISTORY WHAT A TIME TO BEE 🐝  ALIVE DON'T ME… https://t.co/ZIB9usHCi6
1517367173169270785,jamesmichaelb16,Fri Apr 22 04:58:20 +0000 2022,-72.524305,41.7769225,Benzino will kill 50 in that fight
1517367176189120512,deepwithfuture,Fri Apr 22 04:58:20 +0000 2022,-90.24782400000001,38.653771,@WVinSD ......... you should explore that some.
1517367179762495488,ThrillmongerXXX,Fri Apr 22 04:58:21 +0000 2022,-118.4119065,34.0207895,FULL SCENE: Thrillys Big Black Couch - Andi Rose (Featuring @AndiRoseXXX)  https://t.co/VGjjr5ncQPOnlyFans:… https://t.co/AjLibCClyQ
1517367178370199553,GavinGatere,Fri Apr 22 04:58:21 +0000 2022,-89.7380625,35.241198999999995,"Got a PR today (24.58) in the 200m dash. 1st in the 4x100, and Discus Throw. Will keep working on getting better. https://t.co/e6cSS7kh8U"
1517367183566856194,dpbrelsford,Fri Apr 22 04:58:22 +0000 2022,-84.707809,39.217875500000005,"1,000 retweets and I’ll make an OnlyFans"
1517367186217738240,JacksackPhD,Fri Apr 22 04:58:23 +0000 2022,-93.6393635,42.0325065,"Just got a Spotify notification for Jason Aldean. I get im white, but not that kindve white."
1517367187832381440,SullyCanuck87,Fri Apr 22 04:58:23 +0000 2022,-123.123581,49.257639,Kings Defeat the BlackHawks 4-1
1517367188499357697,ItsMzToxik,Fri Apr 22 04:58:23 +0000 2022,-89.87644900000001,32.571032,For the blind ass person inside me 🫣 the brightness dimmed doesn’t help either #DarkMode
1517367190512668673,Shivy1231,Fri Apr 22 04:58:24 +0000 2022,-71.0887125,42.3136695,How can one evil person have so much power and destroy millions of lives. He belongs in hell and the sooner the bet… https://t.co/VOeWIoW1ux
1517367190697254913,QuisIcon,Fri Apr 22 04:58:24 +0000 2022,-93.3613205,46.441860500000004,@LeftLaneHuncho Mane you tripping 🤣
1517367190953074689,bbysoli,Fri Apr 22 04:58:24 +0000 2022,-97.7973005,27.5856875,want
1517367191414452224,gregstayeating,Fri Apr 22 04:58:24 +0000 2022,-77.0143985,38.898602999999994,@thinkt2much @vasqueznairobi Sara Jay’s contributions to society are duly noted and respected but the neck up is…di… https://t.co/5GGdbfJisK
1517367192609693696,LAKingsSteve,Fri Apr 22 04:58:24 +0000 2022,-117.585658,33.859093,Well done boys!! #GoKingsGo #lakings @LAKings https://t.co/x9pcq2yvHY
1517367194111201280,BoudiccaBar,Fri Apr 22 04:58:25 +0000 2022,-118.4119065,34.0207895,@irene_rudnyk This is soooo gorgeous
1517367194627321858,CaseeAllen,Fri Apr 22 04:58:25 +0000 2022,-86.791549,36.200008,Anybody else wide awake for absolutely no reason?🤷‍♂️#AskingForAFriend
1517367193935089664,gothrot666,Fri Apr 22 04:58:25 +0000 2022,-122.4359785,37.7706565,ur honor. I’m sleying https://t.co/aN5VdB7BLt
1517367196359421952,socalgaychub,Fri Apr 22 04:58:25 +0000 2022,-117.975154,34.094001,@Cynexist_ coming from someone who's never even been an extra or hooked up in the sauna 💁‍♂️
1517367197378646016,MegaStretch23,Fri Apr 22 04:58:25 +0000 2022,-104.92209349999999,39.713563,I stg if will Barton is on this nuggets team next year I will not go to a single game and protest
1517367198263689216,shane_riordan,Fri Apr 22 04:58:26 +0000 2022,-87.732013,41.8335845,@ProfRavioli Step up then
1517367198867591168,hedaredme,Fri Apr 22 04:58:26 +0000 2022,-116.9880225,32.85118,@NHLBlackhawks not even wanting to touch that puck the last few seconds 😂 #gokingsgo Love these guys! @LAKings
1517367198922141696,UCantFindMeMom,Fri Apr 22 04:58:26 +0000 2022,-118.4119065,34.0207895,"My great uncle, but more like second grandpa, turned 90 today and he was so damn appreciative that I called him, it… https://t.co/mxbia4ywx6"
1517367199018668033,SteveTu73357179,Fri Apr 22 04:58:26 +0000 2022,-80.22681349999999,40.522217,@BetteMidler She's a HORRIBLE PERSON!  The way she handled Di's death was dispicable!
1517367199157166081,thehooliganlucy,Fri Apr 22 04:58:26 +0000 2022,-97.432425,27.737151,my success won’t be by accident
1517367200792727552,blind_t2,Fri Apr 22 04:58:26 +0000 2022,-117.21791999999999,33.921924000000004,"@LoveAlwayz_ @chelseadelsea1 @terrellgrice please, imma need @torikelly  and @JaiLenJosey_ for that one! a lot of o… https://t.co/NDQDPOUTRG"
1517367201765937153,MzEiGhT8_2u,Fri Apr 22 04:58:26 +0000 2022,-88.709551,32.377719,It’s on
1517367202311290883,JonnyKings,Fri Apr 22 04:58:27 +0000 2022,-106.4174305,31.793368,Why had nobody told me about pecos and the rooftops???
1517367202428723202,Cxnwa,Fri Apr 22 04:58:27 +0000 2022,-90.4774805,30.068501,@DonniHue brother have you sniffed a scrimmage in the year 2022 of our lord jesus christ
1517367204202926080,lterrell_,Fri Apr 22 04:58:27 +0000 2022,-84.433106,33.7671945,My bro never misses man 🏆@KRoosevelt https://t.co/nOnRBz90K9
1517367204538322945,Sblackmagics,Fri Apr 22 04:58:27 +0000 2022,-118.4119065,34.0207895,I love that Steph has absolutely no problem coming off the bench....the fact that you gotta deal with Klay and Pool… https://t.co/2JuhUIe44m
1517367204852879360,Alebabyy21,Fri Apr 22 04:58:27 +0000 2022,-121.979527,37.5236445,Honestly don’t know what to give my mom for Mothers Day……..😭
1517367205679276032,Officerfriend07,Fri Apr 22 04:58:27 +0000 2022,-86.791549,36.200008,Happy vibe on Stephen karlen scared shitless kill ym kid ? Or any? Anemocity right lack of blood pressure n pulse S… https://t.co/kfZ6fmg9ED
1517367206966968321,melindaisabel13,Fri Apr 22 04:58:28 +0000 2022,-97.28591349999999,32.7799665,I’m naming my first child Spencer jalen
1517367207746883584,dilfmage,Fri Apr 22 04:58:28 +0000 2022,-118.4119065,34.0207895,"@dnkrypto Yes! I guess cheesy was the word, not bad"
1517367208749371393,princebullock,Fri Apr 22 04:58:28 +0000 2022,-121.716454,37.931388,"@doodlebugeye Yes, Dyncorp would be in the background human trafficking, rockets &amp; ultra secret Himmler’s High Priest Wotan/Odin Cult."
1517367208745132032,quis__custodiet,Fri Apr 22 04:58:28 +0000 2022,-118.39742,33.98438,0458ZN341HP CALIFORNIA HIGHWAY PATROLSquawk: 0260N33.9844 W118.3974Altitude: 650ftCourse: 64ºGroundspeed: 64k… https://t.co/liuzDkmDeq
1517367209739186181,donniebaker,Fri Apr 22 04:58:28 +0000 2022,-121.8737305,37.331159,"Cable news has become MTV, it’s all about the shows, not about the music videos. Can you please report the news (al… https://t.co/mQ8gXmFZQT"
1517367209600856064,SoCalBIGmike,Fri Apr 22 04:58:28 +0000 2022,-117.7823605,33.689732,5G is a joke and the iPhone is the well-timed punchline https://t.co/1PDt7tw6si
1517367212268433408,taejoonsjk,Fri Apr 22 04:58:29 +0000 2022,-118.4119065,34.0207895,@besosjjk early bday present😢
1517367212444557314,robertsonaaron,Fri Apr 22 04:58:29 +0000 2022,-104.92209349999999,39.713563,"Well that @nuggets loss was disappointing but expected. Good news though, it’s RESTAURANT WARS on @BravoTopChef!… https://t.co/tiIf9sxKGu"
1517367212591308800,ArmandDoma,Fri Apr 22 04:58:29 +0000 2022,-122.4359785,37.7706565,@NeverSassyLaura I wonder why https://t.co/VanJmiQa6j
1517367217117007872,offlevelmedia,Fri Apr 22 04:58:30 +0000 2022,-118.1567105,33.809171500000005,Never forget! 🍀❤🍀
1517367218845192194,brizzeybryan,Fri Apr 22 04:58:30 +0000 2022,-95.99017549999999,30.083158,i come thru for alotta ppl. i just want the same in return sometimes..
1517367219201716224,holey_fag,Fri Apr 22 04:58:31 +0000 2022,-96.7617535,32.819858499999995,"@ygdmbb big hand, huh 😏"
1517367218606161920,CODYBIGTIME,Fri Apr 22 04:58:30 +0000 2022,-83.1738665,32.6782075,Why they already got it on clearance 😂 @SHAQ @NBAonTNT https://t.co/Q2ZbfgiN03
